route_id,direction_id,stop_id,stop_sequence
L991,1,U306Z101P,1
L991,1,U507Z101P,2
L991,1,U462Z101P,3
L991,1,U157Z101P,4
L991,1,U321Z101P,5
L991,1,U163Z101P,6
L991,1,U360Z101P,7
L991,1,U703Z101P,8
L991,1,U1072Z101P,9
L991,1,U400Z101P,10
L991,1,U476Z101P,11
L991,1,U118Z101P,12
L991,1,U921Z101P,13
L991,1,U713Z101P,14
L991,1,U953Z101P,15
L991,1,U1071Z101P,16
L991,0,U1071Z102P,1
L991,0,U953Z102P,2
L991,0,U713Z102P,3
L991,0,U921Z102P,4
L991,0,U118Z102P,5
L991,0,U476Z102P,6
L991,0,U400Z102P,7
L991,0,U1072Z102P,8
L991,0,U703Z102P,9
L991,0,U360Z102P,10
L991,0,U163Z102P,11
L991,0,U321Z102P,12
L991,0,U157Z102P,13
L991,0,U462Z102P,14
L991,0,U507Z102P,15
L991,0,U306Z102P,16
L992,1,U897Z101P,1
L992,1,U818Z101P,2
L992,1,U135Z101P,3
L992,1,U75Z101P,4
L992,1,U474Z101P,5
L992,1,U510Z101P,6
L992,1,U529Z101P,7
L992,1,U655Z101P,8
L992,1,U758Z101P,9
L992,1,U689Z101P,10
L992,1,U480Z101P,11
L992,1,U1072Z121P,12
L992,1,U539Z101P,13
L992,1,U237Z101P,14
L992,1,U1040Z101P,15
L992,1,U458Z101P,16
L992,1,U957Z101P,17
L992,1,U685Z101P,18
L992,1,U602Z101P,19
L992,1,U1154Z101P,20
L992,1,U258Z101P,21
L992,1,U1007Z101P,22
L992,1,U1140Z101P,23
L992,1,U1141Z101P,24
L992,0,U1141Z102P,1
L992,0,U1140Z102P,2
L992,0,U1007Z102P,3
L992,0,U258Z102P,4
L992,0,U1154Z102P,5
L992,0,U602Z102P,6
L992,0,U685Z102P,7
L992,0,U957Z102P,8
L992,0,U458Z102P,9
L992,0,U1040Z102P,10
L992,0,U237Z102P,11
L992,0,U539Z102P,12
L992,0,U1072Z122P,13
L992,0,U480Z102P,14
L992,0,U689Z102P,15
L992,0,U758Z102P,16
L992,0,U655Z102P,17
L992,0,U529Z102P,18
L992,0,U510Z102P,19
L992,0,U474Z102P,20
L992,0,U75Z102P,21
L992,0,U135Z102P,22
L992,0,U818Z102P,23
L992,0,U897Z102P,24
L993,1,U286Z101P,1
L993,1,U106Z101P,2
L993,1,U52Z101P,3
L993,1,U601Z101P,4
L993,1,U228Z101P,5
L993,1,U50Z101P,6
L993,1,U385Z101P,7
L993,1,U597Z101P,8
L993,1,U527Z101P,9
L993,1,U190Z101P,10
L993,1,U400Z121P,11
L993,1,U142Z101P,12
L993,1,U689Z121P,13
