route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,sub_agency_id
L1,1111111-1,1_6667_230424,"Sídliště Petřiny",,1,,L1V1,1,0,1,1
L1,1111111-1,1_6181_230313,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-1,1_6636_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_7052_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7053_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7054_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7055_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7056_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7057_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7058_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000011-2,1_6675_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6975_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6676_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6976_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111111-2,1_6677_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111101-1,1_1875_221216,"Vozovna Vokovice",,0,,L1V6,1,0,1,1
L1,0000011-3,1_6711_230429,"Sídliště Petřiny",,1,,L1V1,1,0,1,1
L1,0000011-1,1_6405_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000001-2,1_7059_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7060_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7061_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7062_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7063_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7064_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7065_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7066_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000011-2,1_6687_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6981_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6688_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6982_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111111-2,1_6689_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111111-2,1_2523_230107,"Vozovna Vokovice",,0,,L1V6,1,0,1,1
L1,0000001-2,1_7012_230430,"Sídliště Petřiny",,1,,L1V1,1,0,1,1
L1,0000001-2,1_7067_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7068_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7069_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7070_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_6987_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6692_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6988_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6693_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6989_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6694_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000011-2,1_6320_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,1111111-2,1_6695_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111111-2,1_934_221216,"Vozovna Vokovice",,0,,L1V6,1,0,1,1
L1,1111111-3,1_6267_221217,"Sídliště Ďáblice",,0,,L1V7,1,0,1,1
L1,1111111-3,1_6656_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000011-1,1_6326_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000001-2,1_7071_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7072_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7073_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7074_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7075_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7076_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7077_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_6935_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6614_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6444_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6615_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111101-2,1_6936_230401,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_2853_221217,"Vozovna Kobylisy",,1,,L1V8,1,0,1,1
L1,1111111-1,1_6088_221216,"Sídliště Ďáblice",,0,,L1V7,1,0,1,1
L1,0000011-1,1_6089_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000011-1,1_6336_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000001-2,1_7078_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7079_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7080_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7081_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7082_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_7083_230508,"Sídliště Ďáblice",,0,,L1V4,1,0,0,1
L1,0000001-2,1_7084_230508,"Sídliště Petřiny",,1,,L1V5,1,0,0,1
L1,0000001-2,1_6941_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6624_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,0000001-2,1_6942_230407,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_6625_230121,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111101-2,1_6943_230401,"Sídliště Ďáblice",,0,,L1V2,1,0,0,1
L1,0000011-2,1_3383_221217,"Vozovna Kobylisy",,1,,L1V8,1,0,1,1
